cod_mun|DAS_pagos|qtd_optantes|adimplencia|inadimplencia|uf|qtd_populacao_estimada|nm_municipio|vlr_adic_bruto_agropecuaria|vlr_adic_bruto_industria|vlr_adic_bruto_servicos|vlr_adic_bruto_administracao|vlr_adic_bruto_total|impostos_liquidos_sobre_produtos|pib|pib_per_capita|atividade_maior_vlr_adic_bruto|atividade_2maior_vlr_adic_bruto|atividade_3maior_vlr_adic_bruto
4120606|1341|1619|0.83|0.17|PR|52513|Prudentópolis|371397|96820|426432|217934|1112584|84146|1196730|23031.31|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4120655|177|209|0.85|0.15|PR|4465|Quarto Centenário|103966|16710|67495|27289|215460|14458|229918|50420.58|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4120705|395|546|0.72|0.28|PR|7477|Quatiguá|19817|15447|87799|37929|160991|16976|177967|23984.75|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
4120804|811|1567|0.52|0.48|PR|23911|Quatro Barras|3904|436338|649214|126038|1215494|334095|1549589|66795.52|Demais serviços|Indústrias de transformação|Comércio e reparação de veículos automotores e motocicletas
4120853|214|357|0.60|0.40|PR|4029|Quatro Pontes|65457|24181|49985|23868|163491|13644|177135|44283.78|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita|Pecuária, inclusive apoio à pecuária
4120903|658|1039|0.63|0.37|PR|34409|Quedas do Iguaçu|116680|634788|246294|141404|1139166|55611|1194777|35360.99|Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação|Demais serviços|Indústrias de transformação
4121000|345|617|0.56|0.44|PR|12232|Querência do Norte|73651|18607|71698|58164|222119|15113|237233|19477.22|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
4121109|192|284|0.68|0.32|PR|4508|Quinta do Sol|71941|6326|58000|25320|161588|11819|173407|37372.12|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4121208|652|909|0.72|0.28|PR|19221|Quitandinha|155876|20354|109453|84812|370495|21382|391877|20763.90|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4121257|81|157|0.52|0.48|PR|4476|Ramilândia|33546|2908|18630|23316|78400|3882|82282|18590.56|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
4121307|173|239|0.72|0.28|PR|3784|Rancho Alegre|55572|9747|29495|20289|115104|5246|120350|31406.48|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4121356|76|116|0.66|0.34|PR|2628|Rancho Alegre D'Oeste|62490|15083|37762|17584|132918|8067|140986|52567.33|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4121406|1087|1202|0.90|0.10|PR|16950|Realeza|94320|63410|315933|73564|547228|55462|602689|35674.76|Demais serviços|Comércio e reparação de veículos automotores e motocicletas|Administração, defesa, educação e saúde públicas e seguridade social
4121505|400|553|0.72|0.28|PR|14946|Rebouças|155226|42333|99262|65984|362805|16742|379547|25556.97|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4121604|175|293|0.60|0.40|PR|6787|Renascença|107067|15193|81091|32854|236205|19372|255577|37485.58|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4121703|843|1093|0.77|0.23|PR|26825|Reserva|220759|44152|197830|117082|579823|37246|617069|23196.34|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4121752|98|249|0.39|0.61|PR|8069|Reserva do Iguaçu|70626|12215|29408|40309|152558|5203|157761|19844.19|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4121802|809|1085|0.75|0.25|PR|10645|Ribeirão Claro|67630|210411|115010|57507|450558|18480|469038|43864.02|Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4121901|339|542|0.63|0.37|PR|12948|Ribeirão do Pinhal|45497|25246|93442|57507|221692|11716|233408|17801.07|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita
4122008|327|423|0.77|0.23|PR|15336|Rio Azul|305233|57504|138698|67959|569394|38466|607860|40165.19|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4122107|94|155|0.61|0.39|PR|3182|Rio Bom|30029|3022|15779|18579|67408|2471|69879|21667.90|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4122156|205|273|0.75|0.25|PR|13255|Rio Bonito do Iguaçu|118593|12854|78894|62242|272584|16128|288711|21735.41|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
